Symbol,Retinal_Cell_Type_Rob,Notes_on_Evidence_Source_Cell_Type
Akr1b10,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell stress marker with higher expression in D2 at early stage of disease"
Tbx2,,
Krcc1,,
Fam102a,,
Eno1b,Housekeeping,"High RGC enriched expression relative whole retina in Geisert data, RGC prime candidate at one point"
Atp6v0e,"RGC candidate, stress",
Lpar6,,
2810468N07Rik,,
Gm20512,RGC high THY/CD ratio,good THY1/CD15 ratio
Mxd4,,
Rhoj,"RGC master, fibroblast","Conflict with Rheaume, RGC_Type_29, with Macosko fibroblast and endothelium"
Wdr1,Amacrine,
Marcks,"RGC mixed, stresed, amacrine",HIgh RGC expression in Pete Williams and stress-down response.
Crim1,Astrocyte,
Syt15,,
Slc35b2,,
Boc,RGC master,RGC_Type_30
mt-Tc,Mitochondrial,SY_informative
Tulp1,"Photoreceptor, rod",
2010320M18Rik,,
Rgs9bp,Photoreceptor,"Photoreceptor specific gene, rods and cones, our scRNA-seq and GeneNetwork"
Cyb5r3,RGC prime candidate,Macosko 2015
Pkp2,,
Agpat3,,
Fam213a,RGC candidate,
Klf6,Microglia,"RGC candidate of Goldberg PMID 24906860, RGC axon growth-enhancing KLF6, also Macosko PC11 (IER)"
Vtn,Unknown,
Gins4,RGC high THY/CD ratio,RGC high THY/CD ratio
Pdcd4,RGC reference,"Geisert highly RGC enriched expression relative whole retina, No support for RGC in Pinelli, supported by Macosko, every high single cell hit rate"
Cmpk2,RGC high THY/CD ratio,RGC high THY/CD ratio
Hist1h1c,RGC master,RGC_Type_23
Gadd45g,"RGC candidate, stressed",
Gm17134,,
Sipa1l1,,
mt-Co2,Mitochondrial,SY_informative
Cdh2,"Muller, astrocyte","Pinelli, high correlation with JAM2 but Macosko links to Muller and astrocyte"
Sorbs3,,
Stat1,,
Kcnj14,RGC high THY/CD ratio,RGC high THY/CD ratio
Dpy19l3,,
Tmem243,,
Susd3,RGC high THY/CD ratio,RGC high THY/CD ratio
Dcdc2a,,
Gyg,,
Glp2r,"Photoreceptor, RGC, mixed",Very high RGC enrichement in Geisert and low retinal expression in NOT consistent with photoreceptor
Gab1,,
Fam174b,,
Josd2,,
Nat8l,RGC candidate,"BXD_Thy1_CovHSA_ThyRbpms_Cov, High covariation with Thy1 and with Macosko RGC39  "
Trappc4,RGC candidate Dec18,
Ech1,,
Car2,"RGC master, amacrine, Muller","Rheaume RGC_Type_7, Macosko amacrine and bipolar cell signature. We find ratio of THY1 to CD15 to be very close to 1.0"
Isy1,,
Gsta4,RGC master,RGC_Type_25 
Rtbdn,,
Sox8,,
Serp1,RGC candidate,BXD_Thy1_Cov
Tmem14a,,
Mitd1,,
Mir3109,RGC prime candidate,SY TSNE cluster 75L. High RGC/retina ratio in Geisert and moderate retinal epression. Sult1b1 upregulated may in early glaucoma based on numbers cells positive for gene in DBA/2J glaucoma model relative to its wildtype Gpnmb D2 control.
Atf4,"RGC candidate, stressed",This gene used as first entry point to search for other stress-related genes in retina by Rob by correlation analysis using Pete Williams Atf4 expression. Atf4 selected based on substantial literature (e.g. paper with Auwerx). Independtly confirms as stress gene base on high correction with ZTrait 3 in D2 Glaucoma data from Pete Williams paper. HIgh RGC expression in Pete Williams. Stress-up response.
Arl5b,,
Prkd1,,
Map3k5,,
Pigz,,
Vasp,,
Syde1,,
Dph3,,
Bsg,"Muller, astrocyte",
Aldh18a1,,
Ints5,RGC candidate Dec18,
Nav2,,
Irf2bpl,,
Cd1d1,RGC high THY/CD ratio,RGC high THY/CD ratio
Ip6k3,,
Hist1h4i,,
Tspo,,
Gm29054,,
Abcb11,,
Hist1h2bn,RGC high THY/CD ratio,RGC high THY/CD ratio
Myof,,
Pvrl3,Fibroblast,
Krba1,,
Adam23,RGC candidate,Human RGC master PC1 covariate r = 0.93
Pex7,,
4933405E24Rik,RGC high THY/CD ratio,Good THY1/CD15 ratio
Mir7240,,
Spon2,,
Rhoq,,
Gm5617,,
Tm9sf3,RGC candidate,
Kctd6,,
Rab33b,,
Rnd3,"RGC high THY/CD ratio, amacrine",Mackosko considers this an amacrine cell marker. RGC high THY/CD ratio
Ubxn1,RGC candidate Dec18,
Ythdc1,,
Tef,,
Wscd1,,
Tcf7l1,,
Wbp1,,
Sesn3,,
Pard3bos1,,
Nrbp2,Unknown,Geisert
Myb,,
Carhsp1,,
Bicd2,,
Mical1,RGC high THY/CD ratio,RGC high THY/CD ratio
Cmtm5,Astrocyte,
Smad5,,
Cox6b2,"RGC candidate, stress",
Ifit3,,
4931440F15Rik,RGC high THY/CD ratio,RGC high THY/CD ratio
AC160122.1,,
Gm2a,,
Sri,Unknown,
Sowaha,Horizontal,
Adi1,,
Adhfe1,Glaucoma early marker,"Howell, down-regulated in early DBA/2J glaucoma r = -0.78 (delta of 0.3 iog2 units)"
mt-Td,"RGC candidate, mitochondrial",SY_informative
Jtb,RGC candidate Dec18,
Apoc2,,
Tsc22d2,,
Bod1,,
Rb1,,
Cers6,,
Dmtf1,Unknown,
Arhgef26,RGC master,RGC_Type_20
Plce1,"RGC candidate, stress",
Hist1h4c,RGC high THY/CD ratio,RGC high THY/CD ratio
Cobl,"RGC candidate, stress",
mt-Tp,Mitochondrial,
Gm38316,,
Rpp25l,,
Khdrbs3,,
Galm,"RGC candidate, stress",
2310015A10Rik,RGC high THY/CD ratio,RGC high THY/CD ratio
Cryba1,,
Gm12224,,
Gm15832,,
Jam2,RGC master,"Rheaume RGC_Type_14, Sanes J-type cells defined by this marker (aka JamB), OFF type RGC, not confirmed in Macosko, but confirmed in Tran and Sanes(see Kim et al., 2008). Has some  THY1:CD15 ratio of 1.66 and there may be some expression in amacrine cells."
Ccnjl,,
Gm37844,,
Hist1h4a,RGC high THY/CD ratio,RGC high THY/CD ratio
Wfs1,,
Gm2065,,
Il18,,
Ephb3,"RGC high THY/CD ratio, stress","Good THY1/CD15 ratio, Howell stress marker with lower expression in D2 at early stage of disease"
Setd7,,
Mir5114,,
Gm16175,RGC high THY/CD ratio,RGC high THY/CD ratio
Tvp23b,,
Arhgap42,,
Il20ra,,
Cryba2,Lens,
Nck2,RGC candidate Dec18,
Golga7,,
Klf3,,
Olfm2,,
Ahr,RGC high THY/CD ratio,RGC high THY/CD ratio
Fgf9,"RGC candidate, stressed",
Ost4,"RGC candidate, stressed",
Aldh6a1,RGC master,"RGC_Type_40, BXD_Thy1_Cov"
Cyb5a,,
Plekhm3,,
Hist1h2al,RGC candidate Dec18,
Lenep,Lens,
Mir568,RGC high THY/CD ratio,RGC high THY/CD ratio
Hmgn3,Bipolar,
Slc36a2,,
Coq10b,,
Epn2,,
Rp1l1,Unknown,GeneNetwork
Plcb3,,
Deptor,,
Ust,,
3110052M02Rik,RGC high THY/CD ratio,good THY1/CD15 ratio
Zfp58,,
Naprt,RGC high THY/CD ratio,RGC high THY/CD ratio
Nelfe,,
Ezr,Unknown,PMID or Geisert
Smad6,,
Gatsl3,,
4930521E06Rik,RGC high THY/CD ratio,RGC high THY/CD ratio
Tmem129,,
Bola3,,
Jdp2,,
Hsdl2,,
Snord52,,
Galnt10,,
Kbtbd11,"RGC candidate, stress",
Jam3,,
Aipl1,"Photoreceptor, rod","van der Spuy et al., 2002"
Arhgef40,,
Gm26663,,
Gpkow,,
Rela,RGC candidate Dec18,
Klf10,,
Nde1,,
Trib1,,
2310010J17Rik,,
RP23-326D6.5,,
Ptp4a1,,
9630001P10Rik,,
Cabp5,"Bipolar, rod bipolar, photoreceptor (cone)","Shekar 2016, Cabp5 (Haeseleer et al., 2000), promoter has been shown previously to be active in rod bipolar cells and a limited set of cone bipolar cells (Matsuda and Cepko, 2004), Macosko 2015"
S100b,"RGC master, astrocyte, Muller",RGC_Type_33
Haus3,,
Pigf,,
Arc,RGC high THY/CD ratio,RGC high THY/CD ratio
Gnpda1,,
Lsr,Endothelium,
Gm20481,,
Rtn2,,
Ass1,,
Hpcal1,Amacrine,
Txnrd1,,
Rgr,RGC high THY/CD ratio,good THY1/CD15 ratio
Acsl6,,
Pld2,,
Plxnb2,Fibroblast,
Rpl7l1,,
Rab11fip4,,
mt-Ts1,"RGC candidate, mitochondrial",SY_informative
1110032A03Rik,,
Mir692-3,RGC candidate Dec18,
Gm27611,RGC high THY/CD ratio,RGC high THY/CD ratio
Neo1,Unknown,"Pinelli, high correlation with JAM2"
Isoc1,Amacrine,
Phyh,,
Dync2li1,,
Caskin1,RGC candidate,BXD_Thy1_Cov
Cpne3,,
Lrrc75b,,
Gm12184,,
Mmgt2,,
Gca,,
Fcgrt,,
Per1,,
1700110K17Rik,RGC candidate Dec18,
Pnp,RGC candidate Dec18,
Leng8,,
L3mbtl2,,
mt-Tt,Mitochondrial,SY_informative
1700019D03Rik,,
Gcnt2,,
Esd,RGC candidate Dec18,
Hspa1a,"RGC candidate, stressed",
Ctsl,Amacrine,
Tyw5,,
Mir330,,
Kctd4,,
Lbhd1,Unknown,
Gm26965,,
Acad8,,
Sec61b,"RGC candidate, stressed",
Sapcd1,,
1810013L24Rik,,
Anapc16,,
Carkd,RGC candidate Dec18,
Nhp2l1,RGC candidate Dec18,
Myl12a,"Pericyte, endothelium",
Mapk6,RGC candidate Dec18,
Crot,Housekeeping,
Cystm1,,
Capza2,Amacrine,
Wsb1,Unknown,
Batf,,
C4b,,
P4ha1,,
Fam19a5,Amacrine,
Zfp191,,
Sema4a,,
Plcd4,,
Msrb2,,
Arih1,Housekeeping,
Khk,"RGC candidate, stress",
Itm2b,RGC housekeeping,"Highly enriched RGC expression relative whole retina in Geisert data, Macosko considers a marker for amacrine, Muller, and other non-neural cells, SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75"
Ptbp1,,
Rps27l,,
Med11,,
Tmem242,,
H2afv,,
Spry1,,
Unc5b,RGC master,RGC_Type_16
Ebpl,,
Cyfip1,,
Nudt2,,
Atp1b2,,
Cyp20a1,,
Ptrhd1,,
Syne2,,
Dnaja4,,
Arf4,,
Cdk2ap2,RGC candidate Dec18,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Gm4894,RGC high THY/CD ratio,RGC high THY/CD ratio
Pim1,RGC candidate Dec18,
Tmem98,,
Npc2,"Astrocyte, microglia",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Sav1,,
Nxnl1,,
Lrrc61,,
Vwa7,,
Ppp1r10,,
Emp2,,
Lgals12,RGC high THY/CD ratio,RGC high THY/CD ratio
Rab20,,
B3galt1,,
mt-Tr,Mitochondrial,SY_informative
Stk10,,
Zbtb12,,
Derl2,,
Gm17036,,
B9d1,RGC high THY/CD ratio,RGC high THY/CD ratio
Lgals4,,
Glud1,,
Fosl1,,
Gm16352,,
Dtna,,
Stab2,,
Itgav,,
Cxadr,,
S100a13,Endothelium,
Slc35f1,"RGC reference, stressed","Geisert highly RGC enriched expression relative whole retina, Geisert High covariation with NF eigengene  and with Macosko RGC39 eigengene. High covariation in Lu Glaucoma-Aging retina data set with Rbpms2. HIgh RGC expression in Pete Williams and stress-down response."
Slc25a1,,
Rnf26,,
Clptm1l,,
Gm3086,RGC candidate Dec18,
Reep6,Unknown,GeneNetwork
Lpcat1,,
Ndp,,
Pole3,,
Itgb5,"RGC master, microglia","Conflict with Rheaume, RGC_Type_35, Macosko as microglia, horizontal, non-specific"
Rnf149,,
Tgfbr3l,,
Vrk3,,
Micall1,,
Gm15713,,
Nt5e,,
Mir29b-1,RGC candidate Dec18,
Gpx4,"RGC candidate, stressed",High positive covariation with ATF4 in D2 glaucoma data of Pete Williams. High RGC/retina enrichment in Geisert.  HIgh RGC expression in Pete Williams and stress-up response.
Sptssa,,
Tmed1,,
Cpped1,,
Zhx2,,
Glo1,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Atat1,,
Dgcr6,,
1810014B01Rik,,
Fam3c,Unknown,
Golph3,,
Snora31,RGC prime candidate,High RGC enriched expression relative whole retina in Geisert data
Nfic,RGC candidate,BXD_Thy1_Cov
Mmp14,RGC master,"RGC_Type4_RT with 7 other genes; Geisert, High covariation with NF eigengene and with Macosko RGC39 eigengene, High covariation in Lu Glaucoma-Aging retina data set "
Znrd1as,,
Cnksr3,,
Calm3,"RGC mixed, amacrine",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
E230013L22Rik,RGC high THY/CD ratio,RGC high THY/CD ratio
Emc2,,
1700088E04Rik,,
Hint1,"RGC candidate, stressed",
Unc50,,
Flii,,
Bloc1s3,,
Wdr61,,
Sema5a,,
Mpv17l2,,
Akap8l,,
2210016F16Rik,,
S100a4,,
Ldb1,Amacrine,BXD_Amarcine 
Ift43,,
Surf4,,
Ifi30,,
Selt,,
Mturn,,
Banf1,,
Slc35f6,RGC high THY/CD ratio,RGC high THY/CD ratio
Ttc23,RGC master,RGC_Type_33
Vax2os,RGC master,RGC_Type_6
Cwc15,,
Dusp5,,
Mir7012,,
Ufm1,,
Ripk1,,
RP23-391P21.2,,
Rhod,,
Jakmip1,,
Aph1b,,
Aga,RGC master,RGC_Type_17
Alad,RGC candidate Dec18,
Cabp4,,
Il12rb1,,
Epdr1,,
Irf9,,
Rpe,,
Zfp617,,
Tpt1,RGC candidate Dec18,
Gmpr2,,
Sema3e,RGC reference,"Very high expression in optic tract, lateral geniculate nucleus, pretectum, and superior colliculus in GENSAT. Moderate retinal expression. High RGC/retina enrichment in Geisert. This is a great candidate for in situ validation."
Rcn3,,
Rnf31,,
Mir7051,,
Rsph9,,
Tle1,RGC candidate,High covariation with Rbpms in Langer RGC-like stem cell data
Gm20417,Housekeeping,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Epha5,RGC reference,"Geisert highly RGC enriched expression relative whole retina, SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75, WIKI-RGC, very high single cell  hit rate"
Yipf5,,
Hist1h1e,,
Gpm6a,"RGC housekeeping, amacrine",Geisert
Mid1ip1,,
Flad1,,
Rwdd1,,
Gng7,Amacrine,
Arpp19,,
Uaca,Amacrine,
Tmem44,,
Ddx3y,,
Gm5635,RGC high THY/CD ratio,RGC high THY/CD ratio
Nfe2l2,,
Gm17334,,
Hnrnpa2b1,"RGC housekeeping, stress","Highly enriched RGC expression relative whole retina in Geisert data, High covariation with all core RGC reference genes except Jam2.  HIgh RGC expression in Pete Williams and stress-down response."
Nxnl2,Unknown,GeneNetwork
RP23-4F16.12,,
Phxr4,RGC high THY/CD ratio,RGC high THY/CD ratio
Acadvl,,
Zfp608,,
Polg,,
Clasrp,,
Fam173b,RGC candidate Dec18,
Rtn3,"RGC housekeeping, Muller","Geisert, Pinelli high correlation with TUBB3; HSA_ThyRbpms_Cov "
Dusp22,,
Gm29094,"Microglia, retinal stress",
Cnppd1,,
Fam58b,,
Gabarap,,
D630024D03Rik,,
Gm17168,,
Mir6993,,
Trpm3,Housekeeping,
Elmsan1,,
Nme3,,
Gm15417,RGC candidate Dec18,
Cebpg,,
Slc37a4,,
Trp53i13,,
Csf2ra,RGC prime candidate,"Enriched RGC expression relative whole retina in Geisert data, High covariation with Rbpms2. High THY1/CD15 ratio"
Papss2,,
Fbxo46,,
Tnfaip1,"Pericyte, endothelium",
3110002H16Rik,,
Pde4c,,
Ddx3x,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Olfr742,,
Mxi1,,
Gcat,,
Gm11802,,
Gng10,,
Strn3,,
Gm15511,RGC canddate,SY TSNE cluster 69L. Low RGC/retina ratio in Geisert and high retinal epression.
Med25,RGC candidate,BXD_Thy1_Cov
Pak2,,
Ctnnd1,,
Prr5,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio but Geisert RGC/Retina ratio is low (0.26), Howell shows higher expression in D2 retina glaucoma whan wildtype GPNMB as early stages"
Leng9,,
Hnrnpa0,RGC candidate Dec18,
Ugp2,,
Mknk2,,
Gm16279,,
Adamts16,,
Ankrd28,RGC candidate,BXD_Thy1_Cov
Hspa14,,
Tgif1,,
Gm11201,SY_informative,SY_informative
Hist1h2br,,
Etf1,,
Fabp12,,
Prkcd,,
Cerk,,
Gemin7,,
Otud1,,
Phf10,,
Ltbp3,Fibroblast,
Plin3,,
Lyrm2,,
Mir678,,
Fkbp9,"RGC candidate, stress",
Hmx1,,
2610203C22Rik,,
Esco2,RGC high THY/CD ratio,RGC high THY/CD ratio
Dpm3,,
Gm27505,,
Rsph3a,,
Kcnv2,"Photoreceptor, mixed",GeneNetwork
Gm28006,,
Dlg5,,
Ttc19,RGC candidate,BXD_Thy1_Cov
Ddb1,,
Baz2b,Housekeeping,
Dhrs4,,
Txndc9,"RGC candidate, stress",
Tmem192,,
Slc44a4,,
RP23-74K24.2,,
Ppp1r3c,,
Fam114a1,,
Dnph1,RGC high THY/CD ratio,RGC high THY/CD ratio
Mrpl30,,
Hfe,,
Mthfs,,
Zfp296,,
Fxyd5,SY_informative,SY_informative
Mpp4,,
Dynlt1a,,
Pde6a,"Photoreceptor, RGC, mixed",
Scarna17,RGC high THY/CD ratio,RGC high THY/CD ratio
Rps10,"RGC candidate, stressed",
Gm27533,RGC candidate Dec18,
Gm20463,,
Cdk9,,
Nme4,,
Litaf,"RGC candidate, stress, microglia, endothelium, fibroblast",
Clcf1,,
Fam221b,,
Rnf5,"RGC candidate, stressed",
Zfp330,,
Qk,Astrocyte,
Fhl1,,
Etfb,,
Fam96a,,
Adora2b,,
Gm26577,,
Sypl,,
Fam73b,,
Fosl2,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Metrn,Astrocyte,
Qpctl,,
Frmd8os,,
Plat,Pericyte,
Slc10a1,,
Zdhhc24,,
Fzd7,,
Klhl2,,
Fxyd7,RGC reference,"Wiki_RGC, High covariation with Rbpms2 in both Geisert and in Lu, Macosko 2015, Relatively high THY1/CD15 ratio"
Tax1bp1,RGC housekeeping,"Enriched RGC expression relative whole retina in Geisert data, Wiki_RGC,  "
Defb10,RGC high THY/CD ratio,RGC high THY/CD ratio
Icam1,"RGC candidate, stress, microglia","SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75, SY adult sc_RNA-seq cluster 32 high = microglia, but high RGC/retina enrichment in Geisert"
Hist1h1t,RGC high THY/CD ratio,good THY1/CD15 ratio
Nfatc4,,
Gm33366,,
Mboat7,,
Msi2,Housekeeping,
mt-Ta,"RGC candidate, mitochondrial",
Slc4a2,,
Tmem161a,,
Cd37,,
Gm28177,,
Rexo2,,
Hist1h2bq,,
Cd99l2,RGC candidate,"HSA_ThyRbpms_Cov,  "
Calu,RGC prime candidate,"Enriched RGC  expression relative whole retina in Geisert data, SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75"
Sidt2,,
Fryl,,
Slc35a4,,
Cflar,,
Abat,Amacrine,
Tram1,,
Arvcf,,
Fam229b,,
Ftl1-ps1,RGC candidate,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Zswim4,"RGC candidate, stressed","SY TSNE cluster 24L is enriched in miroRNAs, IL27A (inflammation), Rfx1 (TF), Cc2d1a (neuronal), Nanos3 (transcription), Palm3"
9330111N05Rik,,
Lbh,,
Arrdc3,,
Arl13b,,
Gm13752,RGC high THY/CD ratio,good THY1/CD15 ratio
Fam89b,RGC candidate Dec18,
Krtcap2,RGC candidate Dec18,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Neu1,,
Rnft1,,
Herc6,,
Hibadh,,
Uxt,,
Mir24-2,,
Tinf2,,
Spata18,,
Nfe2l3,,
Slc25a45,,
Drap1,"RGC candidate, stressed",
Anxa6,RGC candidate,Geisert
Tsr1,,
Exosc3,,
Pgrmc2,,
Hk2,,
Smim8,,
Gm20457,,
Naga,,
Gm27019,,
Sssca1,RGC candidate Dec18,
Ccdc53,,
Pcnxl3,RGC candidate,BXD_Thy1_Cov
Bet1,,
Creld2,,
Hcn2,RGC candidate,"HSA_ThyRbpms_Cov,  "
Chmp5,,
Tmem263,,
Surf2,,
Zfp367,,
Ctsf,Unknown,Geisert High covariation with NF eigengene
Tmem247,RGC high THY/CD ratio,RGC high THY/CD ratio
Zfp513,,
Dnajc18,,
Npy,RGC master,Rheaume RGC_Type_32. Very high THY1/CD15 ratio of 3.1. We conflict with Macosko
Rgs20,Housekeeping,
Gga1,,
Atxn7,"RGC candidate, stressed",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Lilra5,RGC high THY/CD ratio,RGC high THY/CD ratio
Rpl10a,"RGC candidate, stressed",High positive covariation with ATF4 in D2 glaucoma data of Pete Williams. High RGC/retina enrichment in Geisert. SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75.  HIgh RGC expression in Pete Williams and stress-up response.
Tob2,,
Dnajb9,,
Scyl1,RGC housekeeping,"Highly enriched RGC expression relative whole retina in Geisert data, BXD_Thy1_Cov,  "
Rps19bp1,,
Poldip2,,
Ehmt2,,
Slc36a3,RGC high THY/CD ratio,RGC high THY/CD ratio
Gm16538,RGC candidate Dec18,
Naf1,,
Fxr1,,
Mir7091,,
Vit,RGC master,RGC_Type_30
Vit,RGC master,RGC_Type_30
Abhd2,"Endothelium, vascular",
Psme2b,,
Skil,,
Med9os,,
Gm27694,"RGC prime candidate, stress",High RGC enriched expression relative whole retina in Geisert data. High covariation with ATF4 in Pete Williams D2 stressed retina.
Dmpk,,
Sap18,,
Slc50a1,RGC candidate Dec18,
Slc20a2,,
Ncam1,Housekeeping,
Golim4,,
Snord82,,
2310047M10Rik,,
3830406C13Rik,,
Gm27762,,
Gatad1,,
Ppib,,
Lgals7,,
Pcbp1,RGC candidate Dec18,
Tspan3,"RGC candidate, mixed, horizontal, Muller",
Sdhaf2,,
Egfr,,
Anxa4,,
Pim3,,
Ssr3,RGC candidate Dec18,
Lmf2,,
Tor1b,,
Lrrc66,,
Ide,,
Tmed10,,
Rmi1,,
Agbl5,,
Kat5,,
Prdx6b,RGC high THY/CD ratio,RGC high THY/CD ratio
Mesdc2,,
Snord8,,
Gm16054,,
Grp,,
Nkpd1,,
Lrp10,,
Mir7115,,
Mir6377,,
Hspa4l,Unknown,
P3h2,RGC candidate Dec18,
Mir1668,,
Cfl2,,
Prorsd1,,
Ankrd10,RGC candidate Dec18,
Yipf3,,
Elmod1,Amacrine,
Grb10,,
Ovol1,,
Cggbp1,,
Sebox,Bipolar,
Acot2,RGC high THY/CD ratio,good THY1/CD15 ratio
Map3k11,,
Tmem128,,
Gm37335,,
Eci1,,
Stx19,RGC high THY/CD ratio,RGC high THY/CD ratio
Pex2,,
Dpp8,,
Scara5,,
Tmx3,,
Hspb6,,
Rhob,"Microglia, pericyte, endothelium",
D8Ertd738e,"RGC candidate, stressed",
Dennd2a,"RGC master, amacrine",RGC_Type_40
Npc1,,
Gm16214,,
